INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 8800/150000, lr: 0.047638, eta: 3:20:44, time: 7.83, loss: 4.1575, loss_pre: 0.8115, loss_aux0: 0.8868, loss_aux1: 0.8501, loss_aux2: 0.8125, loss_aux3: 0.7966
INFO logger.py(47): iter: 8900/150000, lr: 0.047608, eta: 3:20:22, time: 7.63, loss: 4.2167, loss_pre: 0.8284, loss_aux0: 0.8976, loss_aux1: 0.8679, loss_aux2: 0.8258, loss_aux3: 0.7970
INFO logger.py(47): iter: 9000/150000, lr: 0.047578, eta: 3:19:59, time: 7.60, loss: 4.1320, loss_pre: 0.7947, loss_aux0: 0.8789, loss_aux1: 0.8532, loss_aux2: 0.8194, loss_aux3: 0.7857
INFO logger.py(47): iter: 9100/150000, lr: 0.047547, eta: 3:19:34, time: 7.47, loss: 4.1778, loss_pre: 0.8150, loss_aux0: 0.8957, loss_aux1: 0.8626, loss_aux2: 0.8213, loss_aux3: 0.7831
INFO logger.py(47): iter: 9200/150000, lr: 0.047517, eta: 3:19:13, time: 7.64, loss: 4.2318, loss_pre: 0.8114, loss_aux0: 0.9071, loss_aux1: 0.8732, loss_aux2: 0.8336, loss_aux3: 0.8065
INFO logger.py(47): iter: 9300/150000, lr: 0.047486, eta: 3:18:53, time: 7.73, loss: 4.1872, loss_pre: 0.8171, loss_aux0: 0.8894, loss_aux1: 0.8562, loss_aux2: 0.8196, loss_aux3: 0.8049
INFO logger.py(47): iter: 9400/150000, lr: 0.047456, eta: 3:18:33, time: 7.72, loss: 4.1971, loss_pre: 0.8128, loss_aux0: 0.8805, loss_aux1: 0.8603, loss_aux2: 0.8346, loss_aux3: 0.8089
INFO logger.py(47): iter: 9500/150000, lr: 0.047426, eta: 3:18:14, time: 7.80, loss: 4.2192, loss_pre: 0.8021, loss_aux0: 0.8981, loss_aux1: 0.8767, loss_aux2: 0.8386, loss_aux3: 0.8036
INFO logger.py(47): iter: 9600/150000, lr: 0.047395, eta: 3:17:56, time: 7.78, loss: 4.2050, loss_pre: 0.8335, loss_aux0: 0.8808, loss_aux1: 0.8664, loss_aux2: 0.8237, loss_aux3: 0.8005
INFO logger.py(47): iter: 9700/150000, lr: 0.047365, eta: 3:17:37, time: 7.76, loss: 4.3231, loss_pre: 0.8350, loss_aux0: 0.9129, loss_aux1: 0.8866, loss_aux2: 0.8563, loss_aux3: 0.8323
